index,name,activity,celebrity_indice,phone_number,web_site,adresse
40,Boris,Bijouterie,N/A N/A,https://www.google.com/maps/place/Boris/data=!4m7!3m6!1s0x1023554348065b91:0xe166a73cbfe9372f!8m2!3d6.3735835!4d2.4107048!16s%2Fg%2F11tn5kn11n!19sChIJkVsGSENVIxARLzfpvzynZuE?authuser=0&hl=fr&rclk=1,N/A,"9CF6+C7P, Rue 329B"
41,Chic boucles d'oreilles,Bijouterie fantaisie,N/A N/A,58 70 52 17,N/A,N/A
42,Luxury by kad,Bijouterie,"5,0 (1)",99 77 12 77,N/A,0000
43,Pop_Perles,Bijouterie,N/A N/A,66 20 12 81,N/A,66 20 12 81
44,Lagaitebijouterie,Bijouterie,N/A N/A,99 88 46 46,N/A,N/A
45,BIJOUTERIE CHEZ TAO,Bijouterie,"5,0 (2)",96 54 55 80,N/A,Agla akplomey
46,Michell'in,Bijoutier,"3,5 (2)",94 47 83 23,N/A,"9CF3+294, Rue 148"
47,Eden Trends Bj,Bijouterie,"5,0 (1)",96 76 94 22,N/A,96 76 94 22
48,Départ au bord de la voie,Bijouterie,N/A N/A,https://www.google.com/maps/place/D%C3%A9part+au+bord+de+la+voie/data=!4m7!3m6!1s0x102357ac9bc34261:0xfe9b919a0f3d2f9d!8m2!3d6.3893488!4d2.3730824!16s%2Fg%2F11t27r846y!19sChIJYULDm6xXIxARnS89D5qRm_4?authuser=0&hl=fr&rclk=1,N/A,99QF+Q65
49,MS COLLECTION,Bijouterie,"5,0 (1)",97 89 65 61,N/A,"99QG+85G, Rue 2864"
50,ALABI JEWELRY,Bijouterie,N/A N/A,99 33 29 29,N/A,N/A
51,D'or et de style by Michell'in Benin,Bijouterie,N/A N/A,97 69 47 05,N/A,BP 4078
52,MaRy CorPoRaTe,Marché de vente en gros de vêtements,N/A N/A,67 52 00 43,N/A,01BP2222
53,Dream jewellery,Joaillier,N/A N/A,64 90 03 15,N/A,N/A
54,El-Gringo Bijoux DeLuxe Bénin,Vendeur de bijoux en gros,"5,0 (24)",96 25 91 13,N/A,0229
55,Sleycon collection,Horlogerie,"5,0 (9)",94 07 00 43,N/A,Kpankpan Mosque
56,Ô'dam,Magasin de vêtements pour femmes,"4,9 (11)",96 58 42 12,N/A,C 888
57,Jéhovah Trading,Boutique d'accessoires de mode,N/A N/A,67 74 13 27,N/A,67 74 13 27
58,Siège Xuping Jewy,Bijouterie,N/A N/A,https://www.google.com/maps/place/Si%C3%A8ge+Xuping+Jewy/data=!4m7!3m6!1s0x102355242c9fb335:0x934eb12e74223a8a!8m2!3d6.3735302!4d2.4602113!16s%2Fg%2F11pwwxv551!19sChIJNbOfLCRVIxARijoidC6xTpM?authuser=0&hl=fr&rclk=1,N/A,"9FF6+C38, Rue 1601B"
59,CHARM BOUTIQUE COTONOU,Boutique d'accessoires de mode,"5,0 (1)",97 42 11 42,N/A,146 Rue 4
60,Lybertis Fashion,Bijouterie,N/A N/A,63 84 68 73,N/A,63 84 68 73
61,Only store,Bijouterie fantaisie,N/A N/A,97 15 78 36,N/A,02BP243 Cotonou
62,Bijouterie le DIAMONO,Bijouterie,"3,3 (7)",97 84 40 22,N/A,03BP3792
63,Maridiath Store,Vendeur de bijoux en gros,"5,0 (1)",67 39 08 03,N/A,"noin de la pharmacie Saint Raphaël, Akpakpa"
64,LES ÉTOILES D'OR,Bijouterie,"5,0 (1)",96 09 45 08,N/A,9CMH+982
65,Black and Gold,Bijouterie,"5,0 (2)",67 06 31 39,N/A,BP1708
66,Lylliwax et accessoires,Vendeur de bijoux en gros,N/A N/A,67 92 28 86,N/A,236
67,"Noreol Bijoux Benin (accessoires mariages, baptemes, communions)",Bijouterie,"4,9 (11)",62 23 97 97,N/A,62 23 97 97
68,CBD bijoux,Bijouterie fantaisie,N/A N/A,58 70 52 17,N/A,N/A
69,La maison des bijoux,Bijoutier,"4,8 (320)",64 50 28 49,N/A,"la maison des bijoux est à sikekodji derrière la place bicentenaire, Cotonou Rue 410"
70,Chic boucles d'oreilles,Bijouterie fantaisie,N/A N/A,58 70 52 17,N/A,N/A
71,Rich love beading,Boutique de perles,N/A N/A,91 00 39 79,N/A,N/A
72,bijouterie la maison des bijoux authentiques,Bijouterie,"4,9 (124)",64 50 28 49,N/A,Ave de la Victoire
73,Bijouterie,Bijouterie,N/A N/A,https://www.google.com/maps/place/Bijouterie/data=!4m7!3m6!1s0x102355beaa20b335:0xe92d3899e06b5bf8!8m2!3d6.3672979!4d2.4130345!16s%2Fg%2F11t3f47yt4!19sChIJNbMgqr5VIxAR-Ftr4Jk4Lek?authuser=0&hl=fr&rclk=1,N/A,"9C87+W6F, Rue 612B"
74,Mille Facettes de Thyaa,Bijouterie,N/A N/A,97 63 75 88,N/A,229
75,Chic Créa,Bijouterie,"4,6 (9)",66 12 25 47,N/A,Rue 880
76,BIJOUTERIE LE PARADIS CHEZ GAFARI,Bijouterie,"4,3 (3)",97 29 55 90,N/A,9C94+4CM
77,Nolbijoux,Bijouterie,"4,0 (7)",66 28 82 61,N/A,9C73+2FQ
78,Le Kitaï,Bijouterie,N/A N/A,94 02 10 99,N/A,"9C5P+PH9, Rue 105"
79,Bijouterie GUISSE DIAMANTAIRE,Bijouterie,"5,0 (3)",52 20 88 88,N/A,52 20 88 88
80,Ô'dam,Bijouterie fantaisie,"4,9 (11)",96 58 42 12,N/A,C 888
81,Pop_Perles,Bijouterie,N/A N/A,66 20 12 81,N/A,66 20 12 81
82,Boulevard des perles,Bijouterie,"1,0 (1)",96 27 65 14,N/A,06 BP 127
